filename,x_box,y_box,w,h,X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4
1313.jpg,254.0,259.0,70.0,97.5,323.75,258.75,253.75,258.75,253.75,356.25,323.75,356.25,323.75,258.75
1117.jpg,205.0,308.0,118.75,132.5,323.75,307.5,205.0,307.5,205.0,440.0,323.75,440.0,323.75,307.5
350.jpg,123.0,305.0,127.137,124.775,249.637,305.0,122.5,305.0,122.5,429.775,249.637,429.775,249.637,305.0
2072.jpg,30.0,115.0,231.25,265.0,261.25,115.0,30.0,115.0,30.0,380.0,261.25,380.0,261.25,115.0
281.jpg,193.0,176.0,237.5,287.5,430.0,176.25,192.5,176.25,192.5,463.75,430.0,463.75,430.0,176.25
1680.jpg,84.0,288.0,98.75,116.25,182.5,287.5,83.75,287.5,83.75,403.75,182.5,403.75,182.5,287.5
1807.jpg,238.0,321.0,170.0,167.5,407.5,321.25,237.5,321.25,237.5,488.75,407.5,488.75,407.5,321.25
239.jpg,74.0,306.0,106.25,110.0,180.0,306.25,73.75,306.25,73.75,416.25,180.0,416.25,180.0,306.25
306.jpg,269.0,271.0,77.5,93.75,346.25,271.25,268.75,271.25,268.75,365.0,346.25,365.0,346.25,271.25
495.jpg,239.0,318.0,162.5,217.5,401.25,317.5,238.75,317.5,238.75,535.0,401.25,535.0,401.25,317.5
1494.jpg,76,164,205,175,281.25,163.75,76.25,163.75,76.25,338.75,281.25,338.75,281.25,163.75
670.jpg,223.0,275.0,67.5,82.5,290.0,275.0,222.5,275.0,222.5,357.5,290.0,357.5,290.0,275.0
2028.jpg,251.0,325.0,95.0,152.5,346.25,325.0,251.25,325.0,251.25,477.5,346.25,477.5,346.25,325.0
1100.jpg,368.0,218.0,87.5,88.75,455.0,217.5,367.5,217.5,367.5,306.25,455.0,306.25,455.0,217.5
1317.jpg,203.0,254.0,101.25,120.0,303.75,253.75,202.5,253.75,202.5,373.75,303.75,373.75,303.75,253.75
571.jpg,115.0,339.0,120.0,117.5,235.0,338.75,115.0,338.75,115.0,456.25,235.0,456.25,235.0,338.75
999.jpg,209.0,275.0,88.75,76.25,297.5,275.0,208.75,275.0,208.75,351.25,297.5,351.25,297.5,275.0
387.jpg,353.0,229.0,87.5,96.25,440.0,228.75,352.5,228.75,352.5,325.0,440.0,325.0,440.0,228.75
1441.jpg,261.0,265.0,103.75,106.25,365.0,265.0,261.25,265.0,261.25,371.25,365.0,371.25,365.0,265.0
613.jpg,224.0,269.0,72.5,96.25,296.25,268.75,223.75,268.75,223.75,365.0,296.25,365.0,296.25,268.75
1593.jpg,181,223,205,125,386.25,222.5,181.25,222.5,181.25,347.5,386.25,347.5,386.25,222.5
109.jpg,183,184,90,70,272.5,183.75,182.5,183.75,182.5,253.75,272.5,253.75,272.5,183.75
1292.jpg,159,221,95,110,253.75,221.25,158.75,221.25,158.75,331.25,253.75,331.25,253.75,221.25
1225.jpg,193.0,325.0,88.75,86.25,281.25,325.0,192.5,325.0,192.5,411.25,281.25,411.25,281.25,325.0
1352.jpg,305.0,151.0,178.75,160.0,483.75,151.25,305.0,151.25,305.0,311.25,483.75,311.25,483.75,151.25
856.jpg,299.0,303.0,31.25,43.75,330.0,302.5,298.75,302.5,298.75,346.25,330.0,346.25,330.0,302.5
1668.jpg,226.0,375.0,203.75,145.0,430.0,375.0,226.25,375.0,226.25,520.0,430.0,520.0,430.0,375.0
1623.jpg,220.0,351.0,176.25,177.5,396.25,351.25,220.0,351.25,220.0,528.75,396.25,528.75,396.25,351.25
869.jpg,228.0,250.0,110.0,127.5,337.5,250.0,227.5,250.0,227.5,377.5,337.5,377.5,337.5,250.0
686.jpg,284.0,308.0,53.75,66.25,337.5,307.5,283.75,307.5,283.75,373.75,337.5,373.75,337.5,307.5
1875.jpg,210.0,171.0,121.25,136.25,331.25,171.25,210.0,171.25,210.0,307.5,331.25,307.5,331.25,171.25
1827.jpg,350,280,45,80,395,280,350,280,350,360,395,360,395,280
1343.jpg,358.0,320.0,82.5,75.0,440.0,320.0,357.5,320.0,357.5,395.0,440.0,395.0,440.0,320.0
755.jpg,321.0,276.0,82.5,70.0,403.75,276.25,321.25,276.25,321.25,346.25,403.75,346.25,403.75,276.25
2030.jpg,106.0,234.0,202.5,188.75,308.75,233.75,106.25,233.75,106.25,422.5,308.75,422.5,308.75,233.75
1033.jpg,134.0,155.0,178.75,177.5,312.5,155.0,133.75,155.0,133.75,332.5,312.5,332.5,312.5,155.0
1303.jpg,218.0,398.0,48.75,71.25,266.25,397.5,217.5,397.5,217.5,468.75,266.25,468.75,266.25,397.5
1187.jpg,276.0,199.0,126.25,95.0,402.5,198.75,276.25,198.75,276.25,293.75,402.5,293.75,402.5,198.75
408.jpg,193.0,148.0,100.0,152.5,292.5,147.5,192.5,147.5,192.5,300.0,292.5,300.0,292.5,147.5
1933.jpg,290.0,269.0,47.5,62.5,337.5,268.75,290.0,268.75,290.0,331.25,337.5,331.25,337.5,268.75
1228.jpg,214.0,221.0,128.75,126.25,342.5,221.25,213.75,221.25,213.75,347.5,342.5,347.5,342.5,221.25
786.jpg,334.0,323.0,107.5,125.0,441.25,322.5,333.75,322.5,333.75,447.5,441.25,447.5,441.25,322.5
1459.jpg,124.0,339.0,218.75,222.5,342.5,338.75,123.75,338.75,123.75,561.25,342.5,561.25,342.5,338.75
647.jpg,334.0,233.0,67.5,67.5,401.25,232.5,333.75,232.5,333.75,300.0,401.25,300.0,401.25,232.5
916.jpg,148.0,318.0,168.75,130.0,316.25,317.5,147.5,317.5,147.5,447.5,316.25,447.5,316.25,317.5
100.jpg,193.0,185.0,93.75,51.25,286.25,185.0,192.5,185.0,192.5,236.25,286.25,236.25,286.25,185.0
1642.jpg,306.0,321.0,108.75,167.5,415.0,321.25,306.25,321.25,306.25,488.75,415.0,488.75,415.0,321.25
67.jpg,194.0,369.0,71.25,56.25,265.0,368.75,193.75,368.75,193.75,425.0,265.0,425.0,265.0,368.75
1120.jpg,288.0,110.0,121.25,195.0,408.75,110.0,287.5,110.0,287.5,305.0,408.75,305.0,408.75,110.0
2066.jpg,301.0,244.0,82.5,66.25,383.75,243.75,301.25,243.75,301.25,310.0,383.75,310.0,383.75,243.75
1025.jpg,333.0,288.0,81.25,86.25,413.75,287.5,332.5,287.5,332.5,373.75,413.75,373.75,413.75,287.5
1017.jpg,190.0,330.0,117.5,96.25,307.5,330.0,190.0,330.0,190.0,426.25,307.5,426.25,307.5,330.0
1422.jpg,323.0,241.0,85.0,123.75,407.5,241.25,322.5,241.25,322.5,365.0,407.5,365.0,407.5,241.25
1351.jpg,205.0,351.0,190.0,151.25,395.0,351.25,205.0,351.25,205.0,502.5,395.0,502.5,395.0,351.25
1290.jpg,174.0,244.0,161.25,198.75,335.0,243.75,173.75,243.75,173.75,442.5,335.0,442.5,335.0,243.75
1891.jpg,173.0,278.0,93.75,81.25,266.25,277.5,172.5,277.5,172.5,358.75,266.25,358.75,266.25,277.5
29.jpg,333.0,218.0,80.0,196.25,412.5,217.5,332.5,217.5,332.5,413.75,412.5,413.75,412.5,217.5
1918.jpg,244.0,271.0,65.0,92.5,308.75,271.25,243.75,271.25,243.75,363.75,308.75,363.75,308.75,271.25
1545.jpg,144.0,151.0,142.5,147.5,286.25,151.25,143.75,151.25,143.75,298.75,286.25,298.75,286.25,151.25
2138.jpg,109.0,346.0,150.0,132.5,258.75,346.25,108.75,346.25,108.75,478.75,258.75,478.75,258.75,346.25
1684.jpg,219.0,268.0,137.5,105.0,356.25,267.5,218.75,267.5,218.75,372.5,356.25,372.5,356.25,267.5
2079.jpg,156.0,154.0,135.0,156.25,291.25,153.75,156.25,153.75,156.25,310.0,291.25,310.0,291.25,153.75
782.jpg,103.0,341.0,156.25,146.25,258.75,341.25,102.5,341.25,102.5,487.5,258.75,487.5,258.75,341.25
764.jpg,226.0,260.0,167.5,163.75,393.75,260.0,226.25,260.0,226.25,423.75,393.75,423.75,393.75,260.0
316.jpg,146.0,284.0,157.5,176.25,303.75,283.75,146.25,283.75,146.25,460.0,303.75,460.0,303.75,283.75
707.jpg,303.0,270.0,68.75,95.0,371.25,270.0,302.5,270.0,302.5,365.0,371.25,365.0,371.25,270.0
1261.jpg,328.0,225.0,102.5,101.25,430.0,225.0,327.5,225.0,327.5,326.25,430.0,326.25,430.0,225.0
1572.jpg,68.0,319.0,112.5,102.5,180.0,318.75,67.5,318.75,67.5,421.25,180.0,421.25,180.0,318.75
303.jpg,319,201,130,95,448.75,201.25,318.75,201.25,318.75,296.25,448.75,296.25,448.75,201.25
247.jpg,303.0,246.0,120.0,88.75,422.5,246.25,302.5,246.25,302.5,335.0,422.5,335.0,422.5,246.25
1921.jpg,279.0,261.0,75.0,77.5,353.75,261.25,278.75,261.25,278.75,338.75,353.75,338.75,353.75,261.25
1739.jpg,239.0,316.0,132.5,151.25,371.25,316.25,238.75,316.25,238.75,467.5,371.25,467.5,371.25,316.25
478.jpg,239.0,271.0,95.0,83.75,333.75,271.25,238.75,271.25,238.75,355.0,333.75,355.0,333.75,271.25
440.jpg,213.0,279.0,65.0,72.5,277.5,278.75,212.5,278.75,212.5,351.25,277.5,351.25,277.5,278.75
51.jpg,335.0,204.0,76.25,87.5,411.25,203.75,335.0,203.75,335.0,291.25,411.25,291.25,411.25,203.75
299.jpg,96.0,246.0,135.0,107.5,231.25,246.25,96.25,246.25,96.25,353.75,231.25,353.75,231.25,246.25
111.jpg,268.0,296.0,135.0,136.25,402.5,296.25,267.5,296.25,267.5,432.5,402.5,432.5,402.5,296.25
1157.jpg,168.0,321.0,118.75,118.75,286.25,321.25,167.5,321.25,167.5,440.0,286.25,440.0,286.25,321.25
1285.jpg,243.0,150.0,182.5,178.75,425.0,150.0,242.5,150.0,242.5,328.75,425.0,328.75,425.0,150.0
988.jpg,310.0,214.0,55.0,67.5,365.0,213.75,310.0,213.75,310.0,281.25,365.0,281.25,365.0,213.75
721.jpg,343.0,345.0,132.5,96.25,475.0,345.0,342.5,345.0,342.5,441.25,475.0,441.25,475.0,345.0
1804.jpg,178.0,314.0,171.25,163.75,348.75,313.75,177.5,313.75,177.5,477.5,348.75,477.5,348.75,313.75
1163.jpg,198.0,154.0,92.5,108.75,290.0,153.75,197.5,153.75,197.5,262.5,290.0,262.5,290.0,153.75
368.jpg,243.0,250.0,122.5,88.75,365.0,250.0,242.5,250.0,242.5,338.75,365.0,338.75,365.0,250.0
1577.jpg,120.0,179.0,150.0,131.25,270.0,178.75,120.0,178.75,120.0,310.0,270.0,310.0,270.0,178.75
1604.jpg,288.0,189.0,101.25,108.75,388.75,188.75,287.5,188.75,287.5,297.5,388.75,297.5,388.75,188.75
1333.jpg,299.0,278.0,51.25,58.75,350.0,277.5,298.75,277.5,298.75,336.25,350.0,336.25,350.0,277.5
479.jpg,179.0,164.0,150.0,273.75,328.75,163.75,178.75,163.75,178.75,437.5,328.75,437.5,328.75,163.75
135.jpg,199.0,351.0,165.0,161.25,363.75,351.25,198.75,351.25,198.75,512.5,363.75,512.5,363.75,351.25
1818.jpg,374.0,171.0,98.75,108.75,472.5,171.25,373.75,171.25,373.75,280.0,472.5,280.0,472.5,171.25
944.jpg,121.0,201.0,137.5,151.25,258.75,201.25,121.25,201.25,121.25,352.5,258.75,352.5,258.75,201.25
1452.jpg,231,243,120,115,351.25,242.5,231.25,242.5,231.25,357.5,351.25,357.5,351.25,242.5
1269.jpg,286.0,180.0,178.75,160.0,465.0,180.0,286.25,180.0,286.25,340.0,465.0,340.0,465.0,180.0
251.jpg,284.0,280.0,155.0,122.5,438.75,280.0,283.75,280.0,283.75,402.5,438.75,402.5,438.75,280.0
483.jpg,291,195,95,95,386.25,195.0,291.25,195.0,291.25,290.0,386.25,290.0,386.25,195.0
1223.jpg,224.0,263.0,90.0,106.25,313.75,262.5,223.75,262.5,223.75,368.75,313.75,368.75,313.75,262.5
1302.jpg,313.0,169.0,120.0,132.5,432.5,168.75,312.5,168.75,312.5,301.25,432.5,301.25,432.5,168.75
1278.jpg,248.0,224.0,102.5,103.75,350.0,223.75,247.5,223.75,247.5,327.5,350.0,327.5,350.0,223.75
211.jpg,270.0,390.0,208.75,146.25,478.75,390.0,270.0,390.0,270.0,536.25,478.75,536.25,478.75,390.0
2053.jpg,195.0,168.0,140.0,131.25,335.0,167.5,195.0,167.5,195.0,298.75,335.0,298.75,335.0,167.5
2003.jpg,231.0,235.0,132.5,116.25,363.75,235.0,231.25,235.0,231.25,351.25,363.75,351.25,363.75,235.0
254.jpg,303.0,239.0,42.5,60.0,345.0,238.75,302.5,238.75,302.5,298.75,345.0,298.75,345.0,238.75
780.jpg,53.0,156.0,206.25,192.5,258.75,156.25,52.5,156.25,52.5,348.75,258.75,348.75,258.75,156.25
1068.jpg,294.0,266.0,52.5,63.75,346.25,266.25,293.75,266.25,293.75,330.0,346.25,330.0,346.25,266.25
1845.jpg,360.0,281.0,108.75,145.0,468.75,281.25,360.0,281.25,360.0,426.25,468.75,426.25,468.75,281.25
1626.jpg,360.0,223.0,102.5,87.5,462.5,222.5,360.0,222.5,360.0,310.0,462.5,310.0,462.5,222.5
494.jpg,335.0,228.0,73.75,80.0,408.75,227.5,335.0,227.5,335.0,307.5,408.75,307.5,408.75,227.5
1646.jpg,339.0,314.0,73.75,97.5,412.5,313.75,338.75,313.75,338.75,411.25,412.5,411.25,412.5,313.75
184.jpg,296.0,285.0,88.75,81.25,385.0,285.0,296.25,285.0,296.25,366.25,385.0,366.25,385.0,285.0
1080.jpg,353,238,50,60,402.5,237.5,352.5,237.5,352.5,297.5,402.5,297.5,402.5,237.5
534.jpg,133.0,201.0,143.75,150.0,276.25,201.25,132.5,201.25,132.5,351.25,276.25,351.25,276.25,201.25
727.jpg,56.0,246.0,90.0,163.75,146.25,246.25,56.25,246.25,56.25,410.0,146.25,410.0,146.25,246.25
422.jpg,198.0,158.0,80.0,88.75,277.5,157.5,197.5,157.5,197.5,246.25,277.5,246.25,277.5,157.5
231.jpg,171.0,135.0,163.75,175.0,335.0,135.0,171.25,135.0,171.25,310.0,335.0,310.0,335.0,135.0
1571.jpg,101.0,193.0,185.0,167.5,286.25,192.5,101.25,192.5,101.25,360.0,286.25,360.0,286.25,192.5
1210.jpg,375.0,304.0,106.25,95.0,481.25,303.75,375.0,303.75,375.0,398.75,481.25,398.75,481.25,303.75
438.jpg,314.0,250.0,132.5,128.75,446.25,250.0,313.75,250.0,313.75,378.75,446.25,378.75,446.25,250.0
1747.jpg,178.0,171.0,183.75,112.5,361.25,171.25,177.5,171.25,177.5,283.75,361.25,283.75,361.25,171.25
1301.jpg,230.0,295.0,52.5,56.25,282.5,295.0,230.0,295.0,230.0,351.25,282.5,351.25,282.5,295.0
120.jpg,171.0,321.0,182.5,195.0,353.75,321.25,171.25,321.25,171.25,516.25,353.75,516.25,353.75,321.25
2059.jpg,193.0,160.0,102.5,112.5,295.0,160.0,192.5,160.0,192.5,272.5,295.0,272.5,295.0,160.0
538.jpg,328.0,270.0,122.5,106.25,450.0,270.0,327.5,270.0,327.5,376.25,450.0,376.25,450.0,270.0
849.jpg,249.0,193.0,86.25,92.5,335.0,192.5,248.75,192.5,248.75,285.0,335.0,285.0,335.0,192.5
56.jpg,355.0,209.0,107.5,91.25,462.5,208.75,355.0,208.75,355.0,300.0,462.5,300.0,462.5,208.75
1822.jpg,164.0,380.0,168.75,136.25,332.5,380.0,163.75,380.0,163.75,516.25,332.5,516.25,332.5,380.0
289.jpg,291.0,270.0,128.75,101.25,420.0,270.0,291.25,270.0,291.25,371.25,420.0,371.25,420.0,270.0
307.jpg,170.0,264.0,81.25,83.75,251.25,263.75,170.0,263.75,170.0,347.5,251.25,347.5,251.25,263.75
507.jpg,174.0,219.0,152.5,265.0,326.25,218.75,173.75,218.75,173.75,483.75,326.25,483.75,326.25,218.75
1001.jpg,251,346,70,85,321.25,346.25,251.25,346.25,251.25,431.25,321.25,431.25,321.25,346.25
416.jpg,205.0,163.0,128.75,117.5,333.75,162.5,205.0,162.5,205.0,280.0,333.75,280.0,333.75,162.5
651.jpg,318.0,243.0,113.75,131.25,431.25,242.5,317.5,242.5,317.5,373.75,431.25,373.75,431.25,242.5
1647.jpg,275.0,275.0,73.75,77.5,348.75,275.0,275.0,275.0,275.0,352.5,348.75,352.5,348.75,275.0
168.jpg,286.0,290.0,63.75,66.25,350.0,290.0,286.25,290.0,286.25,356.25,350.0,356.25,350.0,290.0
1772.jpg,149.0,313.0,230.0,216.25,378.75,312.5,148.75,312.5,148.75,528.75,378.75,528.75,378.75,312.5
1403.jpg,249.0,245.0,101.25,93.75,350.0,245.0,248.75,245.0,248.75,338.75,350.0,338.75,350.0,245.0
1567.jpg,231.0,254.0,81.25,90.0,312.5,253.75,231.25,253.75,231.25,343.75,312.5,343.75,312.5,253.75
1948.jpg,248.0,329.0,83.75,115.0,331.25,328.75,247.5,328.75,247.5,443.75,331.25,443.75,331.25,328.75
1125.jpg,306.0,204.0,130.0,106.25,436.25,203.75,306.25,203.75,306.25,310.0,436.25,310.0,436.25,203.75
2143.jpg,214.0,286.0,81.25,73.75,295.0,286.25,213.75,286.25,213.75,360.0,295.0,360.0,295.0,286.25
909.jpg,320.0,248.0,76.25,65.0,396.25,247.5,320.0,247.5,320.0,312.5,396.25,312.5,396.25,247.5
585.jpg,255.0,255.0,86.25,98.75,341.25,255.0,255.0,255.0,255.0,353.75,341.25,353.75,341.25,255.0
1368.jpg,243.0,269.0,70.0,82.5,312.5,268.75,242.5,268.75,242.5,351.25,312.5,351.25,312.5,268.75
979.jpg,323,265,100,105,422.5,265.0,322.5,265.0,322.5,370.0,422.5,370.0,422.5,265.0
1326.jpg,209.0,170.0,173.75,116.25,382.5,170.0,208.75,170.0,208.75,286.25,382.5,286.25,382.5,170.0
519.jpg,248.0,210.0,98.75,83.75,346.25,210.0,247.5,210.0,247.5,293.75,346.25,293.75,346.25,210.0
1961.jpg,399.0,336.0,110.0,107.5,508.75,336.25,398.75,336.25,398.75,443.75,508.75,443.75,508.75,336.25
1566.jpg,328.0,308.0,67.5,82.5,395.0,307.5,327.5,307.5,327.5,390.0,395.0,390.0,395.0,307.5
354.jpg,289,289,90,90,378.75,288.75,288.75,288.75,288.75,378.75,378.75,378.75,378.75,288.75
1746.jpg,230,226,130,150,360.0,226.25,230.0,226.25,230.0,376.25,360.0,376.25,360.0,226.25
1854.jpg,231.0,220.0,141.25,153.75,372.5,220.0,231.25,220.0,231.25,373.75,372.5,373.75,372.5,220.0
1222.jpg,311.0,171.0,132.5,133.75,443.75,171.25,311.25,171.25,311.25,305.0,443.75,305.0,443.75,171.25
752.jpg,136,224,125,130,261.25,223.75,136.25,223.75,136.25,353.75,261.25,353.75,261.25,223.75
69.jpg,254.0,259.0,61.25,63.75,315.0,258.75,253.75,258.75,253.75,322.5,315.0,322.5,315.0,258.75
1808.jpg,263.0,279.0,100.0,86.25,362.5,278.75,262.5,278.75,262.5,365.0,362.5,365.0,362.5,278.75
282.jpg,279.0,260.0,78.75,53.75,357.5,260.0,278.75,260.0,278.75,313.75,357.5,313.75,357.5,260.0
1165.jpg,236.0,255.0,63.75,66.25,300.0,255.0,236.25,255.0,236.25,321.25,300.0,321.25,300.0,255.0
1159.jpg,311.0,281.0,106.25,86.25,417.5,281.25,311.25,281.25,311.25,367.5,417.5,367.5,417.5,281.25
1945.jpg,103.0,316.0,143.75,122.5,246.25,316.25,102.5,316.25,102.5,438.75,246.25,438.75,246.25,316.25
1939.jpg,240.0,281.0,61.25,68.75,301.25,281.25,240.0,281.25,240.0,350.0,301.25,350.0,301.25,281.25
564.jpg,135.0,316.0,138.75,115.0,273.75,316.25,135.0,316.25,135.0,431.25,273.75,431.25,273.75,316.25
290.jpg,195.0,405.0,86.25,91.25,281.25,405.0,195.0,405.0,195.0,496.25,281.25,496.25,281.25,405.0
817.jpg,241.0,241.0,98.75,141.25,340.0,241.25,241.25,241.25,241.25,382.5,340.0,382.5,340.0,241.25
810.jpg,309.0,298.0,98.75,100.0,407.5,297.5,308.75,297.5,308.75,397.5,407.5,397.5,407.5,297.5
680.jpg,245.0,139.0,118.75,161.25,363.75,138.75,245.0,138.75,245.0,300.0,363.75,300.0,363.75,138.75
2116.jpg,303,188,130,130,432.5,187.5,302.5,187.5,302.5,317.5,432.5,317.5,432.5,187.5
1999.jpg,268.0,260.0,103.75,137.5,371.25,260.0,267.5,260.0,267.5,397.5,371.25,397.5,371.25,260.0
1907.jpg,195.0,394.0,86.25,105.0,281.25,393.75,195.0,393.75,195.0,498.75,281.25,498.75,281.25,393.75
1847.jpg,316.0,214.0,72.5,97.5,388.75,213.75,316.25,213.75,316.25,311.25,388.75,311.25,388.75,213.75
705.jpg,303.0,279.0,43.75,58.75,346.25,278.75,302.5,278.75,302.5,337.5,346.25,337.5,346.25,278.75
719.jpg,233.0,263.0,52.5,62.5,285.0,262.5,232.5,262.5,232.5,325.0,285.0,325.0,285.0,262.5
937.jpg,193.0,239.0,92.5,93.75,285.0,238.75,192.5,238.75,192.5,332.5,285.0,332.5,285.0,238.75
99.jpg,111.0,301.0,137.5,136.25,248.75,301.25,111.25,301.25,111.25,437.5,248.75,437.5,248.75,301.25
367.jpg,225.0,271.0,81.25,93.75,306.25,271.25,225.0,271.25,225.0,365.0,306.25,365.0,306.25,271.25
867.jpg,231.0,274.0,72.5,71.25,303.75,273.75,231.25,273.75,231.25,345.0,303.75,345.0,303.75,273.75
2002.jpg,303.0,291.0,40.0,62.5,342.5,291.25,302.5,291.25,302.5,353.75,342.5,353.75,342.5,291.25
297.jpg,105.0,346.0,152.5,136.25,257.5,346.25,105.0,346.25,105.0,482.5,257.5,482.5,257.5,346.25
1800.jpg,109.0,338.0,197.5,166.25,306.25,337.5,108.75,337.5,108.75,503.75,306.25,503.75,306.25,337.5
679.jpg,120.0,298.0,197.5,125.0,317.5,297.5,120.0,297.5,120.0,422.5,317.5,422.5,317.5,297.5
915.jpg,248.0,381.0,120.0,73.75,367.5,381.25,247.5,381.25,247.5,455.0,367.5,455.0,367.5,381.25
998.jpg,261.0,276.0,107.5,95.0,368.75,276.25,261.25,276.25,261.25,371.25,368.75,371.25,368.75,276.25
1503.jpg,196.0,275.0,112.5,106.25,308.75,275.0,196.25,275.0,196.25,381.25,308.75,381.25,308.75,275.0
124.jpg,136.0,220.0,192.5,248.75,328.75,220.0,136.25,220.0,136.25,468.75,328.75,468.75,328.75,220.0
1720.jpg,223.0,284.0,73.75,72.5,296.25,283.75,222.5,283.75,222.5,356.25,296.25,356.25,296.25,283.75
1966.jpg,321.0,275.0,88.75,83.75,410.0,275.0,321.25,275.0,321.25,358.75,410.0,358.75,410.0,275.0
514.jpg,124.0,221.0,147.5,177.5,271.25,221.25,123.75,221.25,123.75,398.75,271.25,398.75,271.25,221.25
1826.jpg,205.0,229.0,130.0,106.25,335.0,228.75,205.0,228.75,205.0,335.0,335.0,335.0,335.0,228.75
1832.jpg,236.0,276.0,67.5,63.75,303.75,276.25,236.25,276.25,236.25,340.0,303.75,340.0,303.75,276.25
530.jpg,176.0,203.0,150.0,141.25,326.25,202.5,176.25,202.5,176.25,343.75,326.25,343.75,326.25,202.5
382.jpg,186.0,268.0,115.0,113.75,301.25,267.5,186.25,267.5,186.25,381.25,301.25,381.25,301.25,267.5
1347.jpg,108.0,148.0,186.25,163.75,293.75,147.5,107.5,147.5,107.5,311.25,293.75,311.25,293.75,147.5
65.jpg,169.0,279.0,117.5,127.5,286.25,278.75,168.75,278.75,168.75,406.25,286.25,406.25,286.25,278.75
649.jpg,86.0,173.0,217.5,200.0,303.75,172.5,86.25,172.5,86.25,372.5,303.75,372.5,303.75,172.5
1957.jpg,223.0,126.0,231.25,186.25,453.75,126.25,222.5,126.25,222.5,312.5,453.75,312.5,453.75,126.25
